source_file,source_path,job_id,epoch,epoch_total,actor_loss_mean,actor_loss_std,actor_loss_min,actor_loss_max,critic_loss_mean,critic_loss_std,critic_loss_min,critic_loss_max,reward_mean,reward_std,reward_min,reward_max,r1_mean,r1_std,r1_min,r1_max,r2_mean,r2_std,r2_min,r2_max,r3_mean,r3_std,r3_min,r3_max,entropy_mean,entropy_std,entropy_min,entropy_max,baseline_acc_mean,baseline_acc_std,baseline_acc_min,baseline_acc_max,model_acc_mean,model_acc_std,model_acc_min,model_acc_max,min_alpha_bucket_acc_mean,min_alpha_bucket_acc_std,min_alpha_bucket_acc_min,min_alpha_bucket_acc_max,strict_min_alpha_bucket_acc_mean,strict_min_alpha_bucket_acc_std,strict_min_alpha_bucket_acc_min,strict_min_alpha_bucket_acc_max,target_in_topk_rate_mean,target_in_topk_rate_std,target_in_topk_rate_min,target_in_topk_rate_max,alpha_gap_mean,alpha_gap_std,alpha_gap_min,alpha_gap_max,per_bucket_0_mean,per_bucket_0_std,per_bucket_0_min,per_bucket_0_max,per_bucket_1_mean,per_bucket_1_std,per_bucket_1_min,per_bucket_1_max,per_bucket_2_mean,per_bucket_2_std,per_bucket_2_min,per_bucket_2_max,per_bucket_3_mean,per_bucket_3_std,per_bucket_3_min,per_bucket_3_max,per_bucket_4_mean,per_bucket_4_std,per_bucket_4_min,per_bucket_4_max,per_bucket_5_mean,per_bucket_5_std,per_bucket_5_min,per_bucket_5_max,per_bucket_6_mean,per_bucket_6_std,per_bucket_6_min,per_bucket_6_max,per_bucket_7_mean,per_bucket_7_std,per_bucket_7_min,per_bucket_7_max,per_bucket_8_mean,per_bucket_8_std,per_bucket_8_min,per_bucket_8_max,per_bucket_9_mean,per_bucket_9_std,per_bucket_9_min,per_bucket_9_max,per_bucket_10_mean,per_bucket_10_std,per_bucket_10_min,per_bucket_10_max,true_bucket_rate_0_mean,true_bucket_rate_0_std,true_bucket_rate_0_min,true_bucket_rate_0_max,true_bucket_rate_1_mean,true_bucket_rate_1_std,true_bucket_rate_1_min,true_bucket_rate_1_max,true_bucket_rate_2_mean,true_bucket_rate_2_std,true_bucket_rate_2_min,true_bucket_rate_2_max,true_bucket_rate_3_mean,true_bucket_rate_3_std,true_bucket_rate_3_min,true_bucket_rate_3_max,true_bucket_rate_4_mean,true_bucket_rate_4_std,true_bucket_rate_4_min,true_bucket_rate_4_max,true_bucket_rate_5_mean,true_bucket_rate_5_std,true_bucket_rate_5_min,true_bucket_rate_5_max,true_bucket_rate_6_mean,true_bucket_rate_6_std,true_bucket_rate_6_min,true_bucket_rate_6_max,true_bucket_rate_7_mean,true_bucket_rate_7_std,true_bucket_rate_7_min,true_bucket_rate_7_max,true_bucket_rate_8_mean,true_bucket_rate_8_std,true_bucket_rate_8_min,true_bucket_rate_8_max,true_bucket_rate_9_mean,true_bucket_rate_9_std,true_bucket_rate_9_min,true_bucket_rate_9_max,true_bucket_rate_10_mean,true_bucket_rate_10_std,true_bucket_rate_10_min,true_bucket_rate_10_max,pred_min_bucket_rate_0_mean,pred_min_bucket_rate_0_std,pred_min_bucket_rate_0_min,pred_min_bucket_rate_0_max,pred_min_bucket_rate_1_mean,pred_min_bucket_rate_1_std,pred_min_bucket_rate_1_min,pred_min_bucket_rate_1_max,pred_min_bucket_rate_2_mean,pred_min_bucket_rate_2_std,pred_min_bucket_rate_2_min,pred_min_bucket_rate_2_max,pred_min_bucket_rate_3_mean,pred_min_bucket_rate_3_std,pred_min_bucket_rate_3_min,pred_min_bucket_rate_3_max,pred_min_bucket_rate_4_mean,pred_min_bucket_rate_4_std,pred_min_bucket_rate_4_min,pred_min_bucket_rate_4_max,pred_min_bucket_rate_5_mean,pred_min_bucket_rate_5_std,pred_min_bucket_rate_5_min,pred_min_bucket_rate_5_max,pred_min_bucket_rate_6_mean,pred_min_bucket_rate_6_std,pred_min_bucket_rate_6_min,pred_min_bucket_rate_6_max,pred_min_bucket_rate_7_mean,pred_min_bucket_rate_7_std,pred_min_bucket_rate_7_min,pred_min_bucket_rate_7_max,pred_min_bucket_rate_8_mean,pred_min_bucket_rate_8_std,pred_min_bucket_rate_8_min,pred_min_bucket_rate_8_max,pred_min_bucket_rate_9_mean,pred_min_bucket_rate_9_std,pred_min_bucket_rate_9_min,pred_min_bucket_rate_9_max,pred_min_bucket_rate_10_mean,pred_min_bucket_rate_10_std,pred_min_bucket_rate_10_min,pred_min_bucket_rate_10_max
train_alpha_h200.pbs.o168218529,/scratch/jp09/dd9648/Guided-DFlash/train_alpha_h200.pbs.o168218529,168218529.gadi-pbs,1,100,-118.121,381.9288,-2505.0857,466.1462,75.3426,57.1804,44.8949,471.2824,-17.8889,0.7109,-20.7987,-15.6264,-19.066,5.3624,-37.4626,-5.4792,5.8874,0.4312,4.2577,7.2138,-16.571,0.4327,-18.2461,-15.2549,157.3934,1.0708,151.6249,158.181,5.5257,0.1443,5.0859,6.0859,0.002,0.0014,0.0,0.0088,0.1613,0.0257,0.0787,0.2232,0.1426,0.02,0.0787,0.1965,0.9162,0.0035,0.9026,0.9273,1.5806,0.1896,0.9652,1.9988,0.164,0.0278,0.0779,0.2348,0.1315,0.0188,0.0582,0.1879,0.132,0.0189,0.0529,0.1861,0.0855,0.0151,0.0412,0.1633,0.075,0.0168,0.0202,0.1407,0.0594,0.0192,0.0055,0.173,0.06,0.0208,0.0066,0.1571,0.0872,0.0258,0.0092,0.2243,0.0921,0.0294,0.0087,0.2283,0.0551,0.0269,0.0,0.1818,0.0427,0.0155,0.0116,0.1123,0.7234,0.0065,0.7002,0.7456,0.0678,0.0025,0.0587,0.0779,0.0373,0.0017,0.0305,0.0435,0.0242,0.0014,0.0193,0.0296,0.0174,0.0012,0.0137,0.0218,0.0129,0.001,0.0096,0.0172,0.0103,0.0009,0.0073,0.0132,0.0083,0.0008,0.0056,0.0109,0.0069,0.0007,0.0046,0.0094,0.0059,0.0007,0.0038,0.0083,0.0855,0.0035,0.0742,0.0987,0.1691,0.0282,0.0766,0.2343,0.137,0.0172,0.0751,0.1811,0.123,0.0105,0.0818,0.1484,0.0886,0.0055,0.0682,0.1258,0.0724,0.0062,0.0594,0.0997,0.0527,0.011,0.0376,0.1012,0.0683,0.0074,0.0525,0.0979,0.0887,0.0076,0.0706,0.1506,0.0884,0.007,0.0686,0.1136,0.057,0.0112,0.0327,0.1029,0.0547,0.0112,0.0292,0.1016
train_alpha_h200.pbs.o168218529,/scratch/jp09/dd9648/Guided-DFlash/train_alpha_h200.pbs.o168218529,168218529.gadi-pbs,2,100,-15.7153,101.747,-328.4962,351.3689,55.5026,3.9573,41.2955,70.1633,-17.6908,0.4816,-19.3603,-16.1917,-17.154,2.4735,-24.8212,-10.091,5.9559,0.2359,5.2025,6.7794,-16.571,0.4254,-17.9707,-15.0059,159.6174,0.9581,158.1829,161.3377,5.5257,0.1418,5.0049,5.9932,0.002,0.0014,0.0,0.0078,0.1816,0.0153,0.1331,0.2257,0.1606,0.0118,0.1219,0.1932,0.9162,0.0034,0.9024,0.9274,1.5043,0.0811,1.2569,1.7588,0.1894,0.0165,0.1326,0.2351,0.1319,0.0144,0.0901,0.1845,0.1304,0.0158,0.0753,0.1865,0.0877,0.0149,0.042,0.1444,0.0718,0.0162,0.0202,0.1373,0.0578,0.017,0.0051,0.1774,0.0591,0.0197,0.0,0.1377,0.0862,0.0258,0.0078,0.1805,0.0834,0.0279,0.0,0.2,0.0499,0.0244,0.0,0.1772,0.0402,0.0103,0.0168,0.0855,0.7234,0.0064,0.7005,0.7431,0.0678,0.0024,0.06,0.0763,0.0373,0.0018,0.0318,0.0436,0.0242,0.0014,0.0191,0.0287,0.0174,0.0012,0.0133,0.0222,0.0129,0.001,0.0096,0.0169,0.0103,0.0009,0.0077,0.0134,0.0083,0.0008,0.0059,0.0117,0.0069,0.0007,0.0047,0.0094,0.0059,0.0006,0.0035,0.0082,0.0855,0.0035,0.0744,0.0997,0.1935,0.0163,0.1382,0.2411,0.1355,0.0098,0.1066,0.165,0.1209,0.006,0.101,0.1409,0.0889,0.0032,0.0781,0.0988,0.0707,0.0042,0.0588,0.0882,0.052,0.0053,0.037,0.0728,0.0672,0.0044,0.0549,0.0842,0.0848,0.0046,0.0702,0.1038,0.0816,0.0044,0.068,0.0979,0.053,0.0059,0.0342,0.0735,0.0519,0.0069,0.0347,0.0777
train_alpha_h200.pbs.o168218529,/scratch/jp09/dd9648/Guided-DFlash/train_alpha_h200.pbs.o168218529,168218529.gadi-pbs,3,100,-17.7169,95.2735,-325.2481,295.1442,54.5592,3.9264,41.2877,71.7042,-17.5956,0.4743,-19.382,-16.0966,-16.2175,2.1442,-24.046,-10.0739,5.9717,0.2165,5.2249,6.7022,-16.571,0.4308,-18.2021,-15.1084,163.0565,0.891,161.3218,164.531,5.5257,0.1436,5.041,6.0684,0.002,0.0014,0.0,0.0098,0.1914,0.0164,0.1387,0.245,0.169,0.0131,0.1292,0.2139,0.9162,0.0035,0.9038,0.9296,1.4676,0.0674,1.2555,1.6818,0.2018,0.0183,0.1462,0.2625,0.1328,0.0137,0.0896,0.1839,0.1254,0.0162,0.0716,0.1862,0.0869,0.0147,0.0349,0.1399,0.0706,0.0161,0.0187,0.1407,0.0576,0.0167,0.0108,0.1202,0.0572,0.0189,0.0,0.1333,0.0816,0.0249,0.0,0.1833,0.0803,0.0266,0.0084,0.1919,0.0497,0.0243,0.0,0.1667,0.0374,0.0096,0.0138,0.07,0.7234,0.0065,0.7016,0.7484,0.0678,0.0025,0.0589,0.077,0.0373,0.0018,0.0303,0.0439,0.0242,0.0014,0.0199,0.0293,0.0174,0.0012,0.0133,0.0226,0.0129,0.001,0.0099,0.0163,0.0103,0.0009,0.007,0.0133,0.0083,0.0008,0.0059,0.0111,0.0069,0.0007,0.0048,0.0097,0.0059,0.0007,0.0037,0.0083,0.0855,0.0035,0.0721,0.0982,0.2069,0.0184,0.1531,0.265,0.1389,0.0086,0.1107,0.1701,0.1185,0.006,0.0963,0.1395,0.0876,0.0024,0.0785,0.0956,0.0695,0.0037,0.0596,0.0833,0.0515,0.0046,0.0373,0.068,0.0633,0.0044,0.0477,0.0773,0.0819,0.0049,0.0663,0.0983,0.0789,0.0049,0.062,0.0951,0.0527,0.0063,0.0311,0.0764,0.0504,0.0069,0.0286,0.0734
train_alpha_h200.pbs.o168218529,/scratch/jp09/dd9648/Guided-DFlash/train_alpha_h200.pbs.o168218529,168218529.gadi-pbs,4,100,-17.451,94.15,-360.9579,296.9734,53.9325,3.9368,39.4467,69.6072,-17.4714,0.4576,-19.0547,-15.8721,-15.0372,1.7677,-22.6556,-9.7798,6.0324,0.1999,5.1929,6.745,-16.571,0.4344,-18.4658,-15.1143,165.8339,0.7889,164.513,167.4804,5.5257,0.1448,5.04,6.1572,0.002,0.0014,0.0,0.0088,0.1959,0.0176,0.1335,0.2541,0.1742,0.014,0.1271,0.2211,0.9162,0.0035,0.9027,0.9277,1.4166,0.0563,1.2299,1.5901,0.2094,0.0196,0.1432,0.2762,0.1312,0.0132,0.0779,0.1759,0.1193,0.0156,0.0679,0.1776,0.0871,0.0147,0.0407,0.1478,0.0723,0.0162,0.0259,0.1429,0.0571,0.0171,0.0056,0.1232,0.0572,0.0192,0.0,0.1528,0.0823,0.0249,0.0156,0.1852,0.0793,0.0275,0.0,0.1923,0.0516,0.0247,0.0,0.1692,0.0366,0.0097,0.0108,0.0788,0.7234,0.0067,0.702,0.7454,0.0678,0.0025,0.0566,0.0783,0.0373,0.0018,0.0307,0.0437,0.0242,0.0014,0.0196,0.029,0.0174,0.0012,0.0137,0.0219,0.0129,0.001,0.009,0.0173,0.0103,0.0009,0.0071,0.0137,0.0083,0.0008,0.0055,0.0117,0.0069,0.0007,0.0046,0.0096,0.0059,0.0007,0.0036,0.0089,0.0855,0.0035,0.0738,0.0986,0.2147,0.0199,0.14,0.2805,0.1378,0.0083,0.1099,0.1694,0.1152,0.006,0.0962,0.1324,0.0878,0.0024,0.0786,0.0973,0.0711,0.0037,0.058,0.0837,0.0521,0.0047,0.0378,0.0718,0.0636,0.0041,0.0505,0.0827,0.0817,0.0048,0.0671,0.099,0.0768,0.0046,0.0607,0.0957,0.051,0.0063,0.0298,0.0755,0.048,0.0069,0.0255,0.0756
train_alpha_h200.pbs.o168218529,/scratch/jp09/dd9648/Guided-DFlash/train_alpha_h200.pbs.o168218529,168218529.gadi-pbs,5,100,-18.0626,87.916,-300.8093,296.8003,53.4615,3.7822,39.6275,70.2229,-17.3931,0.451,-18.9522,-15.7419,-14.2819,1.4994,-20.1461,-9.6024,6.0619,0.1793,5.3617,6.6453,-16.5711,0.4378,-18.0205,-15.0527,168.63,0.6,167.4691,169.4005,5.5257,0.1459,5.0225,6.0078,0.002,0.0014,0.0,0.0088,0.2006,0.0175,0.1371,0.2577,0.1788,0.0141,0.1297,0.2251,0.9162,0.0035,0.9042,0.9274,1.3806,0.0474,1.2061,1.5486,0.2162,0.0198,0.1479,0.2835,0.1298,0.0134,0.079,0.1743,0.113,0.0144,0.0668,0.172,0.0852,0.0141,0.0358,0.1432,0.0708,0.0159,0.0195,0.1457,0.0559,0.0172,0.0112,0.1264,0.057,0.0195,0.0,0.1389,0.0788,0.0243,0.0078,0.1897,0.0774,0.0272,0.0,0.1887,0.0533,0.0251,0.0,0.1538,0.0384,0.0097,0.0117,0.0933,0.7234,0.0066,0.6982,0.7465,0.0678,0.0025,0.0594,0.0766,0.0373,0.0018,0.0315,0.0434,0.0242,0.0014,0.0197,0.0288,0.0174,0.0012,0.0132,0.0219,0.0129,0.001,0.0094,0.0169,0.0103,0.0009,0.0074,0.0137,0.0083,0.0008,0.0059,0.0111,0.0069,0.0007,0.0046,0.01,0.0059,0.0006,0.0036,0.0084,0.0855,0.0035,0.0741,0.0979,0.2234,0.0204,0.1435,0.2867,0.1371,0.0078,0.1032,0.1629,0.1113,0.0047,0.0969,0.1278,0.0871,0.0024,0.0786,0.0952,0.0698,0.0035,0.0576,0.0816,0.0518,0.0046,0.0389,0.071,0.0636,0.0041,0.0514,0.0794,0.079,0.0044,0.063,0.0951,0.0751,0.0045,0.059,0.093,0.0523,0.0064,0.032,0.079,0.0495,0.0067,0.0277,0.0783
train_alpha_h200.pbs.o168218529,/scratch/jp09/dd9648/Guided-DFlash/train_alpha_h200.pbs.o168218529,168218529.gadi-pbs,6,100,-18.9883,86.3203,-314.0637,287.7252,53.1706,3.7981,40.6722,68.8334,-17.3004,0.4401,-18.9915,-15.8719,-13.4035,1.4508,-18.6574,-9.5307,6.1089,0.1827,5.3937,6.6785,-16.5709,0.4317,-18.0,-15.0996,170.2118,0.6886,169.1949,171.6625,5.5256,0.1439,5.0332,6.002,0.002,0.0014,0.0,0.0078,0.2021,0.0178,0.143,0.2625,0.1812,0.0145,0.1346,0.2316,0.9162,0.0034,0.902,0.9281,1.3433,0.0495,1.21,1.5024,0.22,0.0204,0.1551,0.2911,0.124,0.0126,0.0735,0.1681,0.1097,0.0139,0.056,0.1779,0.0843,0.0144,0.0353,0.1459,0.0717,0.016,0.0233,0.1349,0.0549,0.017,0.0094,0.1309,0.0581,0.0195,0.0,0.1342,0.0798,0.0246,0.0074,0.1982,0.0806,0.0271,0.0,0.2083,0.0547,0.0251,0.0,0.1667,0.0392,0.0095,0.0122,0.0855,0.7234,0.0066,0.6992,0.7486,0.0678,0.0025,0.0592,0.0764,0.0373,0.0018,0.0313,0.0455,0.0242,0.0014,0.0192,0.029,0.0174,0.0012,0.0134,0.0216,0.0129,0.001,0.0094,0.0163,0.0103,0.0009,0.0072,0.0132,0.0083,0.0008,0.0057,0.0111,0.0069,0.0007,0.0044,0.0094,0.0059,0.0007,0.0036,0.0081,0.0855,0.0035,0.0731,0.1001,0.2274,0.0215,0.1517,0.3014,0.1341,0.0077,0.1092,0.1589,0.1083,0.0038,0.0945,0.1225,0.0856,0.0023,0.0785,0.0941,0.0708,0.0034,0.0592,0.0844,0.0507,0.0046,0.0383,0.0691,0.0649,0.0043,0.0496,0.0785,0.0794,0.0043,0.0633,0.0962,0.0767,0.0047,0.0611,0.0936,0.0532,0.0061,0.0345,0.0742,0.0491,0.0064,0.0302,0.0757
train_alpha_h200.pbs.o168218529,/scratch/jp09/dd9648/Guided-DFlash/train_alpha_h200.pbs.o168218529,168218529.gadi-pbs,7,100,-23.2795,82.8295,-368.7564,293.3616,53.5882,3.7755,39.9973,68.7642,-17.1342,0.4338,-18.6919,-15.753,-11.839,1.039,-15.7346,-8.9732,6.2076,0.1507,5.6893,6.7656,-16.5711,0.4334,-18.1816,-15.1465,173.1034,0.815,171.5721,174.4193,5.5257,0.1444,5.0518,6.0615,0.002,0.0014,0.0,0.0088,0.2144,0.018,0.1516,0.2792,0.1935,0.0152,0.1445,0.2509,0.9162,0.0035,0.9037,0.928,1.2686,0.04,1.1548,1.4129,0.2375,0.0215,0.1686,0.3161,0.1199,0.0116,0.0654,0.16,0.1084,0.0134,0.0658,0.1606,0.0846,0.0143,0.0371,0.1401,0.072,0.0157,0.0256,0.1387,0.0545,0.0166,0.0091,0.1117,0.0558,0.0193,0.0064,0.136,0.0756,0.024,0.0069,0.176,0.0781,0.0264,0.0,0.1802,0.0534,0.0242,0.0,0.1591,0.0399,0.0091,0.0153,0.0772,0.7234,0.0066,0.6983,0.7447,0.0678,0.0025,0.0578,0.0757,0.0373,0.0018,0.0318,0.0439,0.0242,0.0014,0.0191,0.0294,0.0174,0.0012,0.0137,0.0213,0.0129,0.001,0.0098,0.0178,0.0103,0.0009,0.0066,0.014,0.0083,0.0008,0.0059,0.0111,0.0069,0.0007,0.0043,0.0096,0.0059,0.0007,0.0036,0.0087,0.0855,0.0036,0.0744,0.0981,0.2434,0.0217,0.1631,0.3191,0.128,0.0056,0.1051,0.1449,0.1063,0.0037,0.0946,0.12,0.0851,0.0025,0.0774,0.0946,0.0705,0.0031,0.0589,0.0822,0.0513,0.0042,0.0393,0.0696,0.0619,0.004,0.0484,0.0771,0.077,0.0041,0.062,0.0934,0.0739,0.0044,0.0585,0.0886,0.053,0.0053,0.0346,0.0704,0.0496,0.0057,0.0305,0.0746
train_alpha_h200.pbs.o168218529,/scratch/jp09/dd9648/Guided-DFlash/train_alpha_h200.pbs.o168218529,168218529.gadi-pbs,8,100,-24.786,80.408,-271.6899,286.8451,54.0579,3.7851,40.267,68.1035,-17.0654,0.4289,-18.6979,-15.6914,-11.1784,0.77,-14.0744,-8.8336,6.2379,0.1457,5.7481,6.8325,-16.5713,0.4373,-18.192,-15.167,174.9665,0.2692,174.3972,175.4622,5.5258,0.1458,5.0576,6.064,0.002,0.0014,0.0,0.0078,0.2247,0.0177,0.165,0.2837,0.2037,0.0149,0.1522,0.2536,0.9162,0.0035,0.9023,0.9287,1.2254,0.0197,1.1544,1.287,0.2519,0.021,0.1793,0.3248,0.1189,0.011,0.0829,0.1577,0.1071,0.0131,0.0662,0.1612,0.0848,0.0145,0.0402,0.1418,0.0728,0.0161,0.0245,0.1358,0.0557,0.0168,0.0051,0.1244,0.0553,0.0189,0.0,0.1377,0.0734,0.0236,0.0,0.1613,0.079,0.0274,0.0083,0.1954,0.0527,0.0243,0.0,0.1646,0.0391,0.0085,0.0143,0.0729,0.7234,0.0067,0.699,0.7466,0.0678,0.0025,0.06,0.0765,0.0373,0.0018,0.0312,0.0435,0.0242,0.0014,0.0193,0.0292,0.0174,0.0012,0.0129,0.0216,0.0129,0.001,0.0093,0.0169,0.0103,0.0009,0.0072,0.0132,0.0083,0.0008,0.0056,0.011,0.0069,0.0007,0.0044,0.0094,0.0059,0.0007,0.0038,0.0082,0.0855,0.0036,0.0728,0.1,0.2548,0.0211,0.186,0.3253,0.1248,0.0051,0.1042,0.1419,0.1024,0.0029,0.0906,0.1126,0.0852,0.0024,0.0761,0.0933,0.0714,0.0033,0.06,0.0827,0.0512,0.0042,0.038,0.0676,0.0607,0.0039,0.0482,0.0783,0.074,0.0039,0.0611,0.0875,0.0734,0.0043,0.0598,0.0872,0.0531,0.0053,0.0361,0.0702,0.049,0.0055,0.0307,0.0673
train_alpha_h200.pbs.o168218529,/scratch/jp09/dd9648/Guided-DFlash/train_alpha_h200.pbs.o168218529,168218529.gadi-pbs,9,100,-24.318,80.2628,-315.1575,310.1903,53.953,3.8731,40.6918,72.4821,-17.0581,0.4199,-18.5942,-15.6895,-11.0988,0.7513,-14.1749,-8.9365,6.2281,0.143,5.6713,6.8125,-16.571,0.4296,-18.1904,-15.1699,176.1864,0.509,175.2924,176.9261,5.5257,0.1432,5.0566,6.0654,0.002,0.0014,0.0,0.0088,0.2251,0.0173,0.1672,0.2807,0.204,0.0144,0.1563,0.251,0.9162,0.0035,0.9025,0.9297,1.2231,0.0206,1.1507,1.2907,0.2525,0.0203,0.1851,0.32,0.1174,0.0112,0.0802,0.1558,0.106,0.0131,0.061,0.1548,0.0854,0.0145,0.0359,0.1475,0.0742,0.0162,0.0179,0.1328,0.0539,0.0166,0.0049,0.1333,0.0546,0.0184,0.0,0.1348,0.0735,0.0234,0.0,0.1846,0.0784,0.0272,0.0,0.2019,0.0533,0.0246,0.0,0.1562,0.0394,0.0085,0.0142,0.0728,0.7234,0.0065,0.6943,0.7467,0.0678,0.0025,0.0596,0.0778,0.0373,0.0018,0.0313,0.0439,0.0242,0.0014,0.0199,0.0301,0.0174,0.0012,0.0135,0.0218,0.0129,0.001,0.0092,0.0166,0.0103,0.0009,0.0071,0.0137,0.0083,0.0008,0.0057,0.0108,0.0069,0.0007,0.0046,0.0096,0.0059,0.0006,0.0038,0.0081,0.0855,0.0035,0.0724,0.0993,0.2557,0.0208,0.1825,0.3276,0.1237,0.005,0.1048,0.1419,0.1021,0.0029,0.091,0.1114,0.0857,0.0024,0.0776,0.0949,0.0722,0.0032,0.061,0.0839,0.0504,0.0041,0.0375,0.0665,0.0604,0.0038,0.0477,0.0773,0.0738,0.0039,0.061,0.0904,0.0742,0.0043,0.06,0.0883,0.0532,0.0052,0.0361,0.0737,0.0486,0.0054,0.0307,0.0687
train_alpha_h200.pbs.o168218529,/scratch/jp09/dd9648/Guided-DFlash/train_alpha_h200.pbs.o168218529,168218529.gadi-pbs,10,100,-25.1306,74.5287,-262.1299,227.3191,53.7494,3.7585,40.4522,69.8556,-17.0622,0.4267,-18.5165,-15.2917,-11.1295,0.7723,-13.6929,-8.8357,6.2188,0.1432,5.6723,6.7097,-16.5712,0.4349,-18.0234,-14.8535,177.2257,0.2095,176.6868,177.5934,5.5257,0.145,4.9521,6.0107,0.002,0.0014,0.0,0.0078,0.227,0.0176,0.1732,0.2851,0.2057,0.0146,0.1594,0.2546,0.9162,0.0035,0.9036,0.9283,1.2247,0.0201,1.1579,1.3073,0.2547,0.0205,0.1899,0.3243,0.1189,0.0111,0.0792,0.1609,0.104,0.0128,0.0612,0.1489,0.0856,0.0143,0.0406,0.1445,0.0746,0.0165,0.0246,0.1359,0.0544,0.0168,0.0051,0.1286,0.0558,0.0187,0.0052,0.1351,0.0727,0.0235,0.0086,0.1651,0.0793,0.0273,0.0,0.2059,0.0519,0.0245,0.0,0.1648,0.0393,0.0089,0.0131,0.0707,0.7234,0.0065,0.698,0.7467,0.0678,0.0025,0.0586,0.0766,0.0373,0.0018,0.031,0.0433,0.0242,0.0014,0.0199,0.029,0.0174,0.0012,0.0137,0.0224,0.0129,0.001,0.01,0.0166,0.0103,0.0009,0.0074,0.0135,0.0083,0.0008,0.0053,0.0111,0.0069,0.0007,0.0046,0.0097,0.0059,0.0006,0.004,0.0083,0.0855,0.0035,0.0741,0.0984,0.2574,0.0212,0.193,0.3244,0.1252,0.005,0.109,0.1417,0.1002,0.0029,0.0883,0.1134,0.0854,0.0024,0.0783,0.0939,0.0724,0.0032,0.0613,0.0831,0.0504,0.0042,0.0395,0.0636,0.0608,0.0039,0.0502,0.0733,0.0725,0.004,0.0598,0.0868,0.0742,0.0044,0.0592,0.0888,0.0536,0.0055,0.0355,0.071,0.0479,0.0055,0.0307,0.0651
