block_position,num_distributions,vocab_values,bin_left,bin_right,count,rate
1,6058,920428288,0.0,0.025,920404076,0.9999736948545415
1,6058,920428288,0.025,0.05,7642,8.302656599793682e-06
1,6058,920428288,0.05,0.07500000000000001,3292,3.5765958553416385e-06
1,6058,920428288,0.07500000000000001,0.1,1974,2.144653772309962e-06
1,6058,920428288,0.1,0.125,1389,1.5090800859871008e-06
1,6058,920428288,0.125,0.15000000000000002,1027,1.1157849159890228e-06
1,6058,920428288,0.15000000000000002,0.17500000000000002,795,8.637283429515804e-07
1,6058,920428288,0.17500000000000002,0.2,674,7.32267802703604e-07
1,6058,920428288,0.2,0.225,533,5.790782475386067e-07
1,6058,920428288,0.225,0.25,469,5.095453998041398e-07
1,6058,920428288,0.25,0.275,396,4.3023449535701365e-07
1,6058,920428288,0.275,0.30000000000000004,370,4.019867759648865e-07
1,6058,920428288,0.30000000000000004,0.325,328,3.563558446391426e-07
1,6058,920428288,0.325,0.35000000000000003,287,3.1181136405924975e-07
1,6058,920428288,0.35000000000000003,0.375,249,2.705262357169101e-07
1,6058,920428288,0.375,0.4,239,2.5966172825839963e-07
1,6058,920428288,0.4,0.42500000000000004,242,2.6292108049595275e-07
1,6058,920428288,0.42500000000000004,0.45,218,2.3684626259552772e-07
1,6058,920428288,0.45,0.47500000000000003,195,2.1185789544095369e-07
1,6058,920428288,0.47500000000000003,0.5,201,2.1837659991605994e-07
1,6058,920428288,0.5,0.525,199,2.1620369842435785e-07
1,6058,920428288,0.525,0.55,180,1.9556113425318802e-07
1,6058,920428288,0.55,0.5750000000000001,165,1.7926437306542235e-07
1,6058,920428288,0.5750000000000001,0.6000000000000001,135,1.46670850689891e-07
1,6058,920428288,0.6000000000000001,0.625,139,1.5101665367329518e-07
1,6058,920428288,0.625,0.65,131,1.4232504770648682e-07
1,6058,920428288,0.65,0.675,138,1.4993020292744415e-07
1,6058,920428288,0.675,0.7000000000000001,151,1.640540626235077e-07
1,6058,920428288,0.7000000000000001,0.7250000000000001,137,1.488437521815931e-07
1,6058,920428288,0.7250000000000001,0.75,144,1.564489074025504e-07
1,6058,920428288,0.75,0.775,156,1.6948631635276293e-07
1,6058,920428288,0.775,0.8,127,1.3797924472308265e-07
1,6058,920428288,0.8,0.8250000000000001,140,1.5210310441914624e-07
1,6058,920428288,0.8250000000000001,0.8500000000000001,159,1.7274566859031607e-07
1,6058,920428288,0.8500000000000001,0.875,164,1.781779223195713e-07
1,6058,920428288,0.875,0.9,162,1.760050208278692e-07
1,6058,920428288,0.9,0.925,155,1.683998656069119e-07
1,6058,920428288,0.925,0.9500000000000001,165,1.7926437306542235e-07
1,6058,920428288,0.9500000000000001,0.9750000000000001,245,2.661804327335059e-07
1,6058,920428288,0.9750000000000001,1.0,700,7.605155220957312e-07
2,6058,920428288,0.0,0.025,920403387,0.9999729462899776
2,6058,920428288,0.025,0.05,7586,8.241815358026023e-06
2,6058,920428288,0.05,0.07500000000000001,3435,3.7319583119983377e-06
2,6058,920428288,0.07500000000000001,0.1,2155,2.341301357309001e-06
2,6058,920428288,0.1,0.125,1534,1.6666154441355024e-06
2,6058,920428288,0.125,0.15000000000000002,1048,1.1386003816518946e-06
2,6058,920428288,0.15000000000000002,0.17500000000000002,825,8.963218653271117e-07
2,6058,920428288,0.17500000000000002,0.2,754,8.191838623716875e-07
2,6058,920428288,0.2,0.225,621,6.746859131734986e-07
2,6058,920428288,0.225,0.25,466,5.062860475665867e-07
2,6058,920428288,0.25,0.275,408,4.4327190430722615e-07
2,6058,920428288,0.275,0.30000000000000004,374,4.0633257894829065e-07
2,6058,920428288,0.30000000000000004,0.325,347,3.769984088103124e-07
2,6058,920428288,0.325,0.35000000000000003,304,3.3028102673871753e-07
2,6058,920428288,0.35000000000000003,0.375,265,2.879094476505268e-07
2,6058,920428288,0.375,0.4,267,2.9008234914222886e-07
2,6058,920428288,0.4,0.42500000000000004,244,2.6509398198765486e-07
2,6058,920428288,0.42500000000000004,0.45,227,2.466243193081871e-07
2,6058,920428288,0.45,0.47500000000000003,184,1.9990693723659219e-07
2,6058,920428288,0.47500000000000003,0.5,189,2.053391909658474e-07
2,6058,920428288,0.5,0.525,152,1.6514051336935877e-07
2,6058,920428288,0.525,0.55,184,1.9990693723659219e-07
2,6058,920428288,0.55,0.5750000000000001,180,1.9556113425318802e-07
