epoch,actor_loss,critic_loss,reward,r1,r2,r3
1,-36.6277,77.0992,-17.2825,-13.308,6.1925,-16.5709
2,-6.6096,57.9422,-16.6134,-6.996,6.5729,-16.5711
3,-7.2001,56.8177,-16.5917,-6.8129,6.6077,-16.5712
4,-6.8863,55.9807,-16.5791,-6.7326,6.6509,-16.5709
5,-7.093,55.4222,-16.5649,-6.5965,6.6614,-16.5714
6,-6.9341,55.1529,-16.5681,-6.6378,6.6699,-16.5713
7,-7.2394,54.9727,-16.5756,-6.7013,6.6565,-16.5711
8,-7.0501,54.8814,-16.5786,-6.7205,6.6456,-16.5712
9,-7.2938,54.7857,-16.5826,-6.7637,6.6485,-16.571
10,-7.1241,54.6808,-16.5862,-6.7932,6.6438,-16.5712
11,-7.1522,54.5648,-16.5866,-6.8061,6.6518,-16.5711
12,-7.3042,54.5136,-16.5906,-6.8396,6.6462,-16.5713
13,-7.1116,54.4311,-16.5863,-6.7928,6.6439,-16.5714
14,-7.1559,54.419,-16.5946,-6.8617,6.6277,-16.5712
15,-7.1927,54.3191,-16.5911,-6.8319,6.6327,-16.5712
16,-7.2506,54.2627,-16.5904,-6.8216,6.6296,-16.5712
17,-7.3621,54.2475,-16.5942,-6.8559,6.6269,-16.5713
18,-7.1925,54.2227,-16.6017,-6.9225,6.6159,-16.571
19,-7.1539,54.1557,-16.5898,-6.8129,6.6259,-16.5711
20,-7.4538,54.0907,-16.5866,-6.78,6.6266,-16.5713
21,-7.3727,54.0352,-16.5823,-6.7489,6.638,-16.5712
22,-7.216,54.0279,-16.5893,-6.8132,6.6315,-16.5711
23,-7.0803,53.9783,-16.5955,-6.8682,6.6225,-16.5709
24,-7.2921,53.917,-16.5914,-6.8324,6.6309,-16.5712
25,-7.002,53.894,-16.5871,-6.7962,6.6385,-16.5713
26,-7.2005,53.8234,-16.5841,-6.7639,6.6352,-16.5713
27,-7.2746,53.8242,-16.5844,-6.7686,6.6363,-16.5712
28,-7.27,53.8165,-16.5812,-6.7337,6.634,-16.5713
29,-7.2158,53.7602,-16.5766,-6.704,6.6514,-16.5713
30,-7.1408,53.7053,-16.5767,-6.7009,6.6472,-16.5714
31,-7.217,53.6886,-16.5818,-6.7442,6.6412,-16.5714
32,-7.2389,53.6818,-16.5792,-6.718,6.6384,-16.5712
33,-7.2283,53.6625,-16.5784,-6.7073,6.6361,-16.5713
34,-7.1427,53.6135,-16.5735,-6.679,6.6554,-16.5711
35,-7.138,53.6009,-16.5696,-6.6372,6.6553,-16.5714
36,-7.2512,53.5648,-16.5783,-6.7109,6.6406,-16.5713
37,-7.2394,53.5601,-16.5704,-6.6509,6.6585,-16.5712
38,-7.3261,53.5762,-16.5738,-6.6721,6.6459,-16.5712
39,-7.2205,53.5064,-16.5654,-6.6004,6.6579,-16.5712
40,-7.1848,53.5009,-16.5718,-6.6557,6.6494,-16.5711
41,-7.2097,53.5063,-16.5668,-6.6151,6.6593,-16.5712
42,-7.2625,53.5089,-16.573,-6.6614,6.6445,-16.5713
43,-7.3232,53.4979,-16.5757,-6.6844,6.6403,-16.5713
44,-7.1292,53.4644,-16.5741,-6.6713,6.6427,-16.5712
45,-7.3497,53.4665,-16.5804,-6.7362,6.6444,-16.5712
46,-7.3084,53.4712,-16.5789,-6.7148,6.6367,-16.5711
47,-7.2623,53.3735,-16.5616,-6.5674,6.6617,-16.571
48,-7.1731,53.4295,-16.5766,-6.6987,6.6439,-16.5711
49,-7.2125,53.3808,-16.567,-6.6039,6.6468,-16.5713
50,-7.0387,53.3598,-16.5695,-6.6357,6.6544,-16.5714
51,-7.0184,53.3399,-16.5645,-6.5859,6.6539,-16.5713
52,-7.0785,53.2761,-16.5472,-6.4421,6.6824,-16.5712
53,-7.3805,53.2587,-16.5504,-6.4635,6.6716,-16.5712
54,-7.0508,53.2472,-16.5453,-6.4363,6.6947,-16.5712
55,-7.2082,53.2573,-16.5465,-6.4304,6.6783,-16.5713
56,-7.1917,53.2434,-16.5469,-6.4178,6.6606,-16.5712
57,-7.1401,53.2854,-16.5658,-6.5917,6.6455,-16.5712
58,-7.1125,53.2235,-16.5438,-6.4145,6.6875,-16.5711
59,-7.175,53.2361,-16.5512,-6.4737,6.6755,-16.5713
60,-7.2418,53.2324,-16.5493,-6.4624,6.6816,-16.5712
61,-7.2958,53.1768,-16.5419,-6.3912,6.6872,-16.5715
62,-7.2726,53.1759,-16.5515,-6.4837,6.681,-16.5712
63,-7.1744,53.174,-16.5489,-6.4681,6.6908,-16.5712
64,-7.2853,53.2126,-16.5605,-6.5634,6.6689,-16.5711
65,-7.1519,53.1964,-16.565,-6.6015,6.6642,-16.5713
66,-7.1601,53.1876,-16.5604,-6.5511,6.6605,-16.5713
67,-7.1656,53.1718,-16.5498,-6.4504,6.668,-16.5715
68,-7.0639,53.1301,-16.5441,-6.41,6.6816,-16.5713
69,-6.9553,53.1143,-16.5458,-6.4213,6.6759,-16.5712
70,-6.8914,53.0959,-16.54,-6.3732,6.6871,-16.5714
