epoch,actor_loss,actor_std,actor_lower,actor_upper,critic_loss,critic_std,critic_lower,critic_upper,reward,reward_std,reward_lower,reward_upper,r1,r1_std,r1_lower,r1_upper,r2,r2_std,r2_lower,r2_upper,r3,r3_std,r3_lower,r3_upper
1,-36.6277,106.2143,-782.8043,141.1537,77.0992,58.5852,46.521,575.4835,-17.2825,1.3295,-22.2706,-14.8552,-13.308,11.9174,-57.8526,-3.5879,6.1925,0.7019,3.4359,7.3624,-16.5709,0.4415,-18.1289,-14.7363
2,-6.6096,28.9189,-106.1172,116.9626,57.9422,4.13,42.6861,77.2177,-16.6134,0.4354,-18.1984,-15.2774,-6.996,0.8538,-12.1286,-4.606,6.5729,0.1807,5.6767,7.1938,-16.5711,0.4411,-18.2227,-15.2168
3,-7.2001,27.9562,-88.6716,122.0445,56.8177,3.973,42.982,71.4889,-16.5917,0.4233,-18.0643,-15.228,-6.8129,0.7203,-9.8367,-4.6204,6.6077,0.1606,5.9931,7.2373,-16.5712,0.43,-18.1611,-15.252
4,-6.8863,27.0138,-101.9712,101.5533,55.9807,3.9528,44.3203,72.9096,-16.5791,0.4261,-18.0323,-14.5951,-6.7326,0.6732,-10.4176,-4.8674,6.6509,0.1498,6.047,7.1525,-16.5709,0.4342,-18.0029,-14.52
5,-7.093,24.2687,-94.8147,78.7484,55.4222,3.9034,42.3461,71.2775,-16.5649,0.4251,-18.0335,-14.8739,-6.5965,0.6066,-9.2018,-4.8068,6.6614,0.1424,5.9725,7.1209,-16.5714,0.4349,-18.0439,-14.8828
6,-6.9341,24.861,-92.8696,97.4049,55.1529,3.8194,43.7753,70.2439,-16.5681,0.4329,-18.1627,-14.8838,-6.6378,0.5879,-9.0627,-4.8328,6.6699,0.1342,6.1681,7.2028,-16.5713,0.4424,-18.1523,-14.915
7,-7.2394,22.9531,-86.0619,83.6853,54.9727,3.8568,42.3145,72.7443,-16.5756,0.4168,-18.3053,-15.123,-6.7013,0.5793,-8.8968,-4.9993,6.6565,0.1325,6.2021,7.112,-16.5711,0.428,-18.2373,-15.0615
8,-7.0501,23.0645,-82.1238,65.421,54.8814,3.8223,39.6637,70.3669,-16.5786,0.4229,-18.2579,-15.1716,-6.7205,0.5794,-9.4344,-4.9059,6.6456,0.1343,6.1603,7.147,-16.5712,0.4333,-18.1318,-15.0146
9,-7.2938,23.6226,-84.5886,81.2528,54.7857,3.8627,40.3356,70.4053,-16.5826,0.4199,-17.9777,-15.2485,-6.7637,0.5223,-8.6033,-4.9363,6.6485,0.1274,6.1634,7.2381,-16.571,0.4303,-18.0703,-15.1992
10,-7.1241,22.7645,-89.0853,69.3844,54.6808,3.8926,41.912,70.743,-16.5862,0.4208,-18.0157,-15.3036,-6.7932,0.4907,-9.0393,-5.4394,6.6438,0.1272,6.2316,7.1646,-16.5712,0.4313,-18.085,-15.249
11,-7.1522,21.7825,-74.9192,78.0766,54.5648,3.7711,42.7953,67.4063,-16.5866,0.4197,-18.1019,-14.9973,-6.8061,0.4854,-8.631,-5.2897,6.6518,0.124,6.2292,7.058,-16.5711,0.4307,-18.0938,-15.0059
12,-7.3042,21.7351,-96.1529,68.8721,54.5136,3.8084,42.0861,73.4085,-16.5906,0.4137,-17.9037,-15.1581,-6.8396,0.4681,-8.9506,-5.4079,6.6462,0.1228,6.1942,7.0794,-16.5713,0.4244,-17.9824,-15.123
13,-7.1116,21.4278,-81.1514,88.1474,54.4311,3.7693,42.0039,70.5495,-16.5863,0.4244,-18.117,-15.1837,-6.7928,0.4479,-8.4499,-5.3828,6.6439,0.1222,6.2424,7.1191,-16.5714,0.4373,-18.0693,-15.1611
14,-7.1559,21.295,-77.41,67.842,54.419,3.7437,41.5234,67.635,-16.5946,0.4242,-18.3396,-15.0945,-6.8617,0.4624,-8.8121,-5.4707,6.6277,0.1254,6.2137,7.2119,-16.5712,0.436,-18.3896,-15.041
15,-7.1927,20.1433,-76.1176,64.851,54.3191,3.8042,41.0118,70.6937,-16.5911,0.4157,-18.0408,-14.9748,-6.8319,0.4369,-9.0375,-5.4962,6.6327,0.1231,6.1715,7.0587,-16.5712,0.427,-18.0615,-14.8975
16,-7.2506,20.6303,-86.6245,66.8504,54.2627,3.7185,41.2897,67.9508,-16.5904,0.4252,-18.4843,-14.9542,-6.8216,0.4587,-8.7059,-5.3287,6.6296,0.1256,6.1847,7.1111,-16.5712,0.4373,-18.5684,-14.9443
17,-7.3621,20.3472,-87.1222,81.0183,54.2475,3.745,42.0198,68.9003,-16.5942,0.4179,-17.9364,-15.0142,-6.8559,0.4407,-8.7055,-5.4246,6.6269,0.1228,6.1809,7.0275,-16.5713,0.4304,-17.9941,-14.9795
18,-7.1925,19.8969,-77.8319,75.5917,54.2227,3.7774,43.055,68.9061,-16.6017,0.4129,-18.0581,-15.2166,-6.9225,0.4119,-8.5302,-5.6381,6.6159,0.1192,6.238,7.0938,-16.571,0.425,-18.0762,-15.1729
19,-7.1539,20.4452,-79.7648,68.2141,54.1557,3.7488,41.5956,67.945,-16.5898,0.4146,-18.0861,-14.9588,-6.8129,0.417,-8.4159,-5.5423,6.6259,0.1207,6.1998,7.0654,-16.5711,0.4274,-18.085,-14.874
20,-7.4538,20.0071,-73.4438,73.5789,54.0907,3.7757,43.0253,71.2674,-16.5866,0.4232,-17.998,-15.0378,-6.78,0.4233,-8.5275,-5.4549,6.6266,0.1237,6.1551,7.082,-16.5713,0.4364,-18.0293,-14.9121
21,-7.3727,19.3084,-79.7039,63.5934,54.0352,3.7249,41.5176,66.1383,-16.5823,0.4178,-18.0417,-15.0592,-6.7489,0.4094,-8.113,-5.5759,6.638,0.1201,6.2449,7.054,-16.5712,0.4307,-18.0703,-15.0088
22,-7.216,19.0915,-77.439,58.2728,54.0279,3.7755,41.0614,69.2981,-16.5893,0.4159,-18.2003,-14.9944,-6.8132,0.4002,-8.3442,-5.3466,6.6315,0.1203,6.2326,7.0523,-16.5711,0.4288,-18.208,-14.9385
23,-7.0803,18.8058,-67.9976,62.9098,53.9783,3.7716,41.2306,68.4327,-16.5955,0.4263,-18.0819,-15.1839,-6.8682,0.3907,-8.356,-5.5713,6.6225,0.1215,6.1985,7.0747,-16.5709,0.4392,-18.0615,-15.024
24,-7.2921,18.2614,-74.7758,50.7163,53.917,3.7916,41.855,66.7865,-16.5914,0.4151,-17.9709,-15.0201,-6.8324,0.4001,-8.1092,-5.5772,6.6309,0.12,6.2266,7.0528,-16.5712,0.4281,-18.0469,-14.9678
25,-7.002,18.6141,-71.9331,63.7652,53.894,3.8007,42.3068,72.495,-16.5871,0.416,-18.1222,-14.973,-6.7962,0.4079,-8.2839,-5.6514,6.6385,0.1216,6.0835,7.0472,-16.5713,0.4285,-18.1055,-14.8975
26,-7.2005,17.319,-72.8504,49.5866,53.8234,3.6788,42.156,69.1237,-16.5841,0.417,-17.9384,-15.1415,-6.7639,0.3765,-8.1598,-5.1806,6.6352,0.1195,6.1633,7.1415,-16.5713,0.4295,-18.0234,-15.0996
27,-7.2746,17.2514,-71.6851,60.1936,53.8242,3.6099,41.8741,68.6002,-16.5844,0.4237,-18.6297,-15.1663,-6.7686,0.3838,-8.2201,-5.5218,6.6363,0.1196,6.2404,7.1704,-16.5712,0.4375,-18.7676,-15.0908
28,-7.27,18.0866,-67.4335,56.9864,53.8165,3.8242,41.8819,67.5734,-16.5812,0.4221,-17.976,-15.1749,-6.7337,0.4008,-8.232,-5.4431,6.634,0.1212,6.2172,7.0466,-16.5713,0.435,-18.0059,-15.123
29,-7.2158,18.0191,-74.1091,62.0087,53.7602,3.8064,39.6434,67.0283,-16.5766,0.4201,-18.761,-14.9394,-6.704,0.3953,-8.1811,-5.4465,6.6514,0.122,6.1384,7.0449,-16.5713,0.4325,-18.7852,-14.8975
30,-7.1408,17.7317,-68.72,63.0399,53.7053,3.8339,41.0227,68.1366,-16.5767,0.4248,-18.2136,-15.2067,-6.7009,0.3854,-8.137,-5.4791,6.6472,0.1212,6.2414,7.0545,-16.5714,0.4375,-18.252,-15.1377
31,-7.217,16.6167,-62.5075,50.8584,53.6886,3.7786,40.4713,67.8062,-16.5818,0.4302,-18.259,-15.1027,-6.7442,0.3716,-8.2728,-5.5529,6.6412,0.1216,6.1335,7.0343,-16.5714,0.4442,-18.293,-15.0879
32,-7.2389,17.143,-62.3126,62.6685,53.6818,3.7712,42.6239,75.0403,-16.5792,0.4246,-18.4934,-15.0952,-6.718,0.3887,-8.3406,-5.3989,6.6384,0.123,6.1767,7.1599,-16.5712,0.4388,-18.6299,-15.041
33,-7.2283,16.7483,-76.4102,55.3664,53.6625,3.7316,40.923,70.3154,-16.5784,0.4218,-18.5401,-15.1078,-6.7073,0.3667,-7.9737,-5.3216,6.6361,0.12,6.2004,7.0272,-16.5713,0.4364,-18.5449,-15.0762
34,-7.1427,16.5238,-70.426,53.5851,53.6135,3.6655,42.0153,67.007,-16.5735,0.4227,-18.0288,-14.94,-6.679,0.3519,-8.0815,-5.1901,6.6554,0.1203,6.2186,7.1163,-16.5711,0.4361,-18.0938,-14.874
35,-7.138,16.6283,-62.553,47.4371,53.6009,3.8271,41.8697,69.0334,-16.5696,0.4211,-18.0524,-15.2689,-6.6372,0.3592,-7.9686,-5.3067,6.6553,0.1164,6.2488,7.0965,-16.5714,0.433,-18.1582,-15.1699
36,-7.2512,16.5829,-73.6024,50.9448,53.5648,3.7143,41.8489,65.903,-16.5783,0.4108,-17.8719,-15.0894,-6.7109,0.3685,-8.4339,-5.4058,6.6406,0.1185,6.2267,7.0621,-16.5713,0.424,-17.9375,-15.0439
37,-7.2394,16.6372,-65.6547,50.7311,53.5601,3.7317,42.0553,67.6257,-16.5704,0.4113,-18.1002,-14.7195,-6.6509,0.3546,-7.8077,-5.5369,6.6585,0.1157,6.2572,7.034,-16.5712,0.4233,-18.1289,-14.6484
38,-7.3261,16.8,-77.3649,49.2459,53.5762,3.7235,42.2684,67.6964,-16.5738,0.4204,-18.0372,-14.921,-6.6721,0.3614,-8.1168,-5.567,6.6459,0.1185,6.2575,7.1203,-16.5712,0.4334,-18.1113,-14.8975
39,-7.2205,15.8698,-61.3445,42.8125,53.5064,3.8001,41.6439,69.8143,-16.5654,0.4196,-18.2977,-15.145,-6.6004,0.3368,-7.873,-5.3663,6.6579,0.1173,6.2956,7.0538,-16.5712,0.4327,-18.3545,-15.0791
40,-7.1848,16.0265,-59.7059,50.5097,53.5009,3.6416,41.1253,66.3033,-16.5718,0.4128,-18.0194,-15.073,-6.6557,0.3439,-7.9822,-5.5005,6.6494,0.117,6.2701,7.0961,-16.5711,0.4266,-18.1113,-15.0703
41,-7.2097,16.4274,-70.4273,49.7321,53.5063,3.7288,39.5712,68.7267,-16.5668,0.4128,-17.8941,-15.1312,-6.6151,0.3393,-7.8322,-5.4094,6.6593,0.116,6.2649,7.0769,-16.5712,0.4264,-17.9092,-15.0674
42,-7.2625,16.7578,-61.8782,69.2687,53.5089,3.7762,40.9035,68.5135,-16.573,0.4223,-18.3011,-15.043,-6.6614,0.36,-8.1444,-5.4437,6.6445,0.1209,6.1762,7.0139,-16.5713,0.437,-18.3633,-15.0059
43,-7.3232,16.4582,-62.1795,57.8135,53.4979,3.6502,41.7956,67.8749,-16.5757,0.421,-18.4553,-14.889,-6.6844,0.3519,-8.1711,-5.4795,6.6403,0.1194,6.1986,7.1189,-16.5713,0.4339,-18.4658,-14.7861
44,-7.1292,15.714,-69.4043,54.2176,53.4644,3.7972,39.0042,67.8242,-16.5741,0.4127,-17.9847,-15.1744,-6.6713,0.3326,-8.0872,-5.3792,6.6427,0.1142,6.1963,7.0961,-16.5712,0.4261,-18.0381,-15.1113
45,-7.3497,16.5116,-71.4237,61.3102,53.4665,3.6612,42.026,65.746,-16.5804,0.4192,-18.01,-15.1668,-6.7362,0.3553,-7.981,-5.5595,6.6444,0.1185,6.2338,7.0722,-16.5712,0.4332,-18.0703,-15.0967
46,-7.3084,16.0676,-64.3759,49.6156,53.4712,3.7268,41.6816,70.8543,-16.5789,0.4148,-18.0068,-15.2981,-6.7148,0.3429,-7.9942,-5.5622,6.6367,0.117,6.2743,7.0531,-16.5711,0.4271,-18.0703,-15.2637
47,-7.2623,15.9656,-65.0916,51.8639,53.3735,3.6997,40.3703,66.477,-16.5616,0.4149,-18.2152,-15.0818,-6.5674,0.3334,-7.8534,-5.4634,6.6617,0.1179,6.26,7.0796,-16.571,0.4291,-18.2461,-15.0176
48,-7.1731,15.7017,-59.7384,49.5052,53.4295,3.712,41.2438,68.1332,-16.5766,0.4054,-17.9658,-15.2522,-6.6987,0.369,-8.0201,-5.366,6.6439,0.1206,6.133,7.0722,-16.5711,0.4177,-18.0264,-15.2432
49,-7.2125,15.7569,-59.5054,55.3012,53.3808,3.7361,40.9974,68.416,-16.567,0.4283,-18.0605,-15.1486,-6.6039,0.3409,-7.6423,-5.2444,6.6468,0.119,6.264,7.0912,-16.5713,0.4422,-18.085,-15.0205
50,-7.0387,15.9115,-68.6483,50.3144,53.3598,3.7864,41.3036,66.9425,-16.5695,0.4246,-17.9677,-14.9434,-6.6357,0.3313,-7.8048,-5.4273,6.6544,0.1179,6.2315,7.056,-16.5714,0.4377,-18.082,-14.9062
51,-7.0184,15.5116,-60.1353,45.7787,53.3399,3.7333,40.3596,68.732,-16.5645,0.4154,-18.1086,-15.1212,-6.5859,0.3302,-7.8111,-5.5346,6.6539,0.1183,6.2458,7.0654,-16.5713,0.4284,-18.2344,-14.9941
52,-7.0785,16.0386,-66.393,48.2525,53.2761,3.6958,39.4916,67.5093,-16.5472,0.427,-17.8168,-15.0582,-6.4421,0.3419,-7.6771,-5.1799,6.6824,0.1189,6.2825,7.0594,-16.5712,0.4416,-17.8887,-15.0146
53,-7.3805,15.4053,-67.2547,51.5254,53.2587,3.6608,41.0472,70.1955,-16.5504,0.4278,-18.2778,-14.9377,-6.4635,0.3333,-7.9072,-5.2212,6.6716,0.1188,6.2804,7.1659,-16.5712,0.4407,-18.3193,-14.915
54,-7.0508,14.9881,-56.3821,41.549,53.2472,3.6886,39.6635,66.701,-16.5453,0.4164,-18.085,-15.0802,-6.4363,0.336,-8.0212,-5.0583,6.6947,0.1181,6.2376,7.1244,-16.5712,0.4293,-18.1523,-15.0117
55,-7.2082,15.5304,-65.4099,56.4427,53.2573,3.6731,40.3641,68.3555,-16.5465,0.422,-18.2239,-15.1775,-6.4304,0.3359,-7.8924,-5.3219,6.6783,0.12,6.2709,7.0944,-16.5713,0.4351,-18.3311,-15.1963
56,-7.1917,15.353,-63.8771,53.2491,53.2434,3.6893,39.5178,68.0369,-16.5469,0.4187,-18.2426,-15.1267,-6.4178,0.3202,-7.7379,-5.3946,6.6606,0.1168,6.1875,7.1006,-16.5712,0.4323,-18.293,-15.1348
57,-7.1401,15.7396,-80.758,51.1809,53.2854,3.7109,40.6499,65.5959,-16.5658,0.4111,-18.0065,-15.2355,-6.5917,0.3243,-7.8557,-5.4174,6.6455,0.1179,6.1878,7.0384,-16.5712,0.4248,-18.0469,-15.1494
58,-7.1125,14.979,-58.478,42.2073,53.2235,3.7843,41.1303,68.3122,-16.5438,0.4161,-18.1729,-15.0078,-6.4145,0.3333,-7.7182,-5.2554,6.6875,0.1172,6.3119,7.1054,-16.5711,0.4296,-18.2461,-15.0029
59,-7.175,15.5442,-67.6098,44.1728,53.2361,3.6961,42.1536,68.2519,-16.5512,0.4164,-18.1203,-15.2378,-6.4737,0.3431,-7.7346,-5.2179,6.6755,0.1206,6.2532,7.2608,-16.5713,0.4293,-18.2139,-15.2344
60,-7.2418,15.4758,-62.0745,41.178,53.2324,3.7272,39.5314,67.8852,-16.5493,0.4151,-18.1118,-15.1323,-6.4624,0.3249,-7.6278,-5.4272,6.6816,0.1181,6.2347,7.0913,-16.5712,0.4288,-18.2256,-15.1787
61,-7.2958,14.9515,-57.7176,58.4595,53.1768,3.8159,40.9789,70.2128,-16.5419,0.4182,-18.1006,-14.9773,-6.3912,0.335,-7.6779,-5.2592,6.6872,0.1199,6.24,7.0601,-16.5715,0.4315,-18.1348,-14.8916
62,-7.2726,15.0927,-68.5822,40.1567,53.1759,3.7159,41.2044,69.0588,-16.5515,0.4146,-18.0934,-15.1183,-6.4837,0.3315,-7.759,-5.1859,6.681,0.1165,6.2891,7.1257,-16.5712,0.427,-18.2227,-15.1172
63,-7.1744,15.311,-57.3826,50.5574,53.174,3.6819,41.703,68.0126,-16.5489,0.4115,-18.0746,-14.9179,-6.4681,0.3313,-7.5702,-5.2959,6.6908,0.1147,6.2596,7.0831,-16.5712,0.4251,-18.1582,-14.8623
